comentario,Valor,nombreAspecto
disminuir el aforo de alumnos por salon,Negativo,Estrategia Académica
"la metodología de algunos profesores, la infraestructura.",Negativo,Docentes
las acreditaciones de sus carreras,Positivo,Percepción General
"mejorar en los horarios de los docentes, para que los estudiantes tengan mas opciones para elegir.",Negativo,Estrategia Académica
la enseñanza brindada por los docentes que esta tiene.,Positivo,Docentes
el orden que existe en la universidad,Positivo,Percepción General
abran mas horarios,Negativo,Estrategia Académica
la enseñanza y valores,Positivo,Percepción General
"la calidad de los docentes, el ambiente y la infraestructura.",Positivo,Docentes
el trato de algunos profesores es desastroso como por ejemplo el profesor de calidad daniel kemper nenos previa a los alumnos,Negativo,Docentes
mejorar las dinamicas de losnprofesoras para con los alumnos.,Negativo,Docentes
"el aire acondicionado, más aulas, el wifi, variabilidad de profesores en algunos cursos.",Positivo,Docentes
posee una enseñanza práctica y no se queda solo en teoría,Positivo,Estrategia Académica
a los docentes y métodos de enseñanza de la mayoría de estos.,Positivo,Docentes
el buen nivel de los profesores,Positivo,Docentes
la enseñanza de los docentes y la tecnologia que cuenta la universidad,Positivo,Docentes
el sistema de los horarios,Negativo,Estrategia Académica
la calidad de enseañansa de los profesores,Positivo,Docentes
"hay buenos profesores, que te explican detalladamente todas las clases que nos brindan y eso hace que aprendamos bien.",Positivo,Docentes
el interés que presentan los profesores por el aprendizaje de los estudiantes y los métodos de enseñanza que se usan,Positivo,Docentes
"valoro su infraestructura, las oportunidades que ofrecen, algunos profesores y sobre todo sus enseñanzas.",Positivo,Docentes
"los docentes carecen de metodología para llegar al estudiante. algunos solo dan una lectura y ya, a eso llaman clase. malísimo",Negativo,Docentes
que consideran nuestra opinion y sugerencias para la mejora de la universidad,Positivo,Percepción General
el funcionamiento del cálculo de notas y del sitema de matrículas.,Negativo,Estrategia Académica
la paciencia y enseñanza de algunos profesores.,Positivo,Docentes
la calidad de maestros dentro de la universidad,Positivo,Docentes
plan curricular,Negativo,Estrategia Académica
la calidad de los docentes y educación.,Positivo,Docentes
la metodologia de enseñanza y la aplicacion de tecnologia,Positivo,Estrategia Académica
dar mas prscticas en clases,Positivo,Estrategia Académica
el servicio y los docentes,Positivo,Docentes
es muy buena en lo que enseñanza,Positivo,Docentes
este programa working requiere de mas horas por lo q es poco lo q se aprende.,Negativo,Estrategia Académica
los profesores de ing empresarial no tienen metodologia para enseñar. no conocen a fondo el tema. profesores de invope y finanzas,Negativo,Docentes
los docentes altamente calificados que dictan las clases en la universidad y la infraestructura que nos brinda.,Positivo,Docentes
"la calidad de sus docentes, pero no en todos",Positivo,Docentes
las clases son más personalisadas.,Positivo,Percepción General
los profesores y su nivel,Positivo,Docentes
"ascensor para personas discapacitadas, fallos al momento de elegir mis horarios al inicio de un ciclo x.",Negativo,Estrategia Académica
la cultura upn el ambiente la infraestructurs y los profesores,Positivo,Docentes
profesores que no tienen buen metodo de enseñanza.,Negativo,Docentes
la calidad de docencia de los profesores y la infraestructura de la universidad.,Positivo,Docentes
las clases full practicas y docemt3 con mucha experi2mcia,Positivo,Estrategia Académica
las calidad en enseñanza y el uso de tecnologia,Positivo,Docentes
en la infraestuctura y la disponibilidad de los horarios,Negativo,Estrategia Académica
"la atención de cada docente, que se preocupen por lo bueno de cada uno, solo espero que expandan un poco más el campus y que las matriculas no haya tantas complicaciones.",Positivo,Docentes
"la enseñanza, infraestructura",Positivo,Estrategia Académica
"el trato de la universidad hacia el estudiante, la amabilidad y el respeto, se que pueden mejorar mas",Positivo,Percepción General
las amistades y el conocimiento aprendido,Positivo,Percepción General
1. la pensión  2.deberian agrandar las aulas  3.deberian devolvernos los puf  4.arquitectura deberia tener una zona para descanso y relajo  5.agrandar el cafetin,Negativo,Percepción General
sus docentea,Positivo,Docentes
los profesores no estan tan preparados y son muy relajados.,Negativo,Docentes
mi aprendizaje,Positivo,Estrategia Académica
"una pensión muy elevada, falta de infraestructura y criterio de parte de algunos profesores.",Negativo,Docentes
me encanta,Positivo,Percepción General
"calidad en todos los profesores, no unos cuantos.",Negativo,Docentes
las enseñansas de los docentes,Positivo,Docentes
la enseñnza de los profesores,Positivo,Docentes
la profesores,Positivo,Docentes
su exigencia y preocupación por el estudiante,Positivo,Estrategia Académica
falta de exigencia en el nivel academico,Negativo,Estrategia Académica
"en hacer ,más actividades para interactuar con los alumnos",Negativo,Percepción General
la exigencia dr los profesores,Negativo,Percepción General
infraestructura y profesores,Positivo,Docentes
"biblioteca, red, metodos de estudio, etc",Negativo,Estrategia Académica
"aulas acondicionadas, profesores capacitados.",Positivo,Docentes
la enseñanza de los docentes encargados.,Positivo,Docentes
"la calidad de enseñanzas de los profesores, en este caso los arquitectos por soy estudiante de arquitectura, ellos nos cuentan sus experiencias y nos enseñan sus conocimientos sobre el trabajo en campo.",Positivo,Estrategia Académica
"cambio de horarios, debe ser mas organizada.  areas verdes  otro bus  puff",Negativo,Estrategia Académica
"es una buena universidad, creo que debería invertir más en su insfraestructura ya que es muy pequeña para la cantidad de alumnado que tiene.. fuera de eso creo que la calidad de enseñanza qué brinda, es la mejor que hag en c5.. ¡qué viva upn!!!??????",Positivo,Docentes
servicios de infraestructura  mayor oportunidad en el extranjero  laboratorios tecnolgicos  estudios de idiomas y/o talleres extra curriculares como computacion o una materia tecnica  mayor oportunidad de practicas laborales,Negativo,Percepción General
"la integracion y valor que le da a cada uno de sus estudiantes, y el amplio conocimiento de los docentes.",Positivo,Docentes
clases dinámicas,Positivo,Docentes
"infraestructura, el nivel de la educación",Negativo,Estrategia Académica
menos alumnos por salòn y la creacion de otro pabellòn.,Negativo,Estrategia Académica
infrestuctura y la pension alta,Negativo,Percepción General
que los docentes brindan el conocimiento a sus estudiantes para así obtener mejores conocimientos en el campo laboral,Positivo,Docentes
"mayor exigencia academica. profesores mas preparados.  mayores facilidades en los prestamos de libros, es decir, mas dias de prestamos. mayor asesoria para conseguir trabajo.",Negativo,Docentes
el aprendizaje dado por los docentes.,Positivo,Docentes
"una infraestructura mas grande. y mejores profesores, con buenos y difíciles exámenes.",Negativo,Docentes
deben dejar entrar a practicar a los laboratorios,Negativo,Percepción General
"su plana docente, infraestructura",Positivo,Docentes
las clases interactivas que brindan los profesores,Positivo,Docentes
mejorar los horarios y servicio de bus,Negativo,Estrategia Académica
muchos de los alumnos que ingresan tienen un nivel muy bajo,Negativo,Percepción General
el horario y el aprendizaje ya que me da la oportunidad de poder trabajar a la vez,Positivo,Estrategia Académica
en no cerrar la puerta y luego de tomar lista no dejqr ingresar a los alumnos en la upc no sucede esto y trabajan con la misma empresa.,Negativo,Docentes
el curso de seminario se debe mantener es una gran ayuds,Positivo,Estrategia Académica
la oportumidad de terminar mi carrera en corto tiempo,Positivo,Estrategia Académica
su calidad en educación.,Positivo,Estrategia Académica
que los docentes son capacitados al igual que el personal en general,Positivo,Docentes
"infraestructura, ambiente.",Positivo,Percepción General
el uso de herramientas informaticas en el desarrollo de los cursos,Positivo,Estrategia Académica
"la malla curricular para industrial y tratar de implementar cursos de carrera desde ciclos anteriores a los que están ahora. dicho está también que debe mejorar el campus, implementar con más novedades y ampliarlo.",Negativo,Estrategia Académica
mas exigencia al alumnado.,Positivo,Estrategia Académica
"en mi opinion, considero que se debe mejorar en cuanto las catividades de motivacion al estudiante mas horas de lavoratlrio y mas practicas al campo por otro lado para el dia dr la juventud no nos brindan ninguna actividad gratuita para los alumnos de,la upn como conciertos",Negativo,Estrategia Académica
la calidad de educacion.,Positivo,Estrategia Académica
que los profesores si cuenten con experiencia en el area que dictaran clases,Negativo,Docentes
"edificios separados por facultades,  facultad para medicina, más libros, tesis casi inexistentes en biblioteca de las cuales guiarse",Negativo,Percepción General
"yo que creo deben mejrar la infraestructura en la biblioteca, tambien creo qie deben evaluar a lps docentes, porque hay docrmtes que solo se dedican a leer diapositivas y eso afecta el desempeño  del estudiante. espero que tomen en cuenta mi comentario.",Negativo,Docentes
la atencion al estudiante por parte de sus directores en cada facultad  poner mas zonas de esparcimiento con el equipamiento adecuado  ampliar la biblioteca  aumentar las horas de cursos practicos   facilitar horarios de atencion por parte de los docentes al alumno  aumentar las actividades deportivas/artisticas a nivel de facultad,Negativo,Estrategia Académica
"no presentan o brindan la seguridad necesaria para sus estudiantes en la sede del molino , todos los días hay robas internos y externos , ademas no hay tolerancia , siempre ocurren percances y a consecuencia de esa medida varios estudiantes no entran y pierden su clase prácticamente por las puras y solo por llega 5 o 3 minutos tarde .",Negativo,Percepción General
que las clases son más personalizadas,Negativo,Estrategia Académica
las pensiones muy altass??????,Negativo,Percepción General
la calidad de los profesores a la hora de enseñar,Positivo,Docentes
la calidad de enseñanza que se nos brinda,Positivo,Estrategia Académica
docentes y biblioteca .ademas del trato del personal.,Positivo,Docentes
lo aprendido en clase xd,Positivo,Estrategia Académica
la calidad de enseñansa de los profesores,Positivo,Docentes
"calidad de maestros para análisis y diseño de algoritmos, estructura de datos, electrónica digital, arquitectura de computadoras y robótica.",Positivo,Docentes
"el  servicio  de  la  biblioteca ,los  talleres  y  los  profesores",Positivo,Docentes
estoy satisfecho,Positivo,Percepción General
la calidad de enseñanza que nos brinda.,Positivo,Estrategia Académica
"los alumnos deben tener más poder de comunicación, este está reducido a muy pocos alumnos.",Negativo,Percepción General
en la exigencia de algunos profesores,Negativo,Docentes
calidad educativa en algunos cursos y biblioteca pobre en recursos,Negativo,Percepción General
docentes mas empeñosos al dictar sus clases,Negativo,Docentes
"bueno que la enseñanza es muy buena ,ademas algunos profesores te dan confianza necesaria para entender sus cursos.",Positivo,Docentes
pues la flexibilidad de los horarios,Negativo,Estrategia Académica
en todo  +,Negativo,Percepción General
"la excelencia educativa, infraestructura",Positivo,Estrategia Académica
"que en esta universidad se involucran con el alumno, formas parte de una familia, además de su buen nivel académico.",Positivo,Estrategia Académica
"calidad de los docentes, infraestructura, pero si faltan mas libros en biblioteca",Positivo,Docentes
la plana docencia calificada que poseen para un mejor servicio académico.,Positivo,Docentes
"tener profesores con un grado de experiencia bueno, apoyo en instrumentos como internet.",Positivo,Docentes
"deben d aumentar aulas para estudiar, lugar mas cálidos para estudiar, regresen los pues,  renovar las sillas, agrandar la biblioteca, los profesores que lleguen más puntuales los profesores, tolerancia con los aulas",Negativo,Docentes
la buena atención de los docentes !,Positivo,Docentes
"que upn en sus clases incluye lo teórico con lo práctico, de esa manera podemos relacionarnos mas con la carrera.",Positivo,Estrategia Académica
el interés de los profesores asia a los estudiantes,Positivo,Docentes
"el ambiente, los profesores",Positivo,Docentes
el tema de la enseñanza es muy excelente,Positivo,Docentes
ja calidad de enseñanza,Positivo,Docentes
la educación que brinda.,Positivo,Percepción General
que brinda buenos servicios y ademas una buena eseñanza,Positivo,Docentes
pocos horarios,Negativo,Estrategia Académica
"profesores bien capacitados y excelente calidad educativa.   promueven a que seamos mejores y no mediócres, no al conformismo.",Positivo,Docentes
"el prestigio, docentes altamente calificados, nuestra opinión es valorada.",Positivo,Docentes
"que se puedan prestar más libros en la biblioteca, siempre existen varios incovenientes al momento de matricularse y al elegir cursos.",Negativo,Estrategia Académica
buena eduacion,Positivo,Docentes
a mi enamorada y a la gran educación que nos brinda la universidad,Positivo,Docentes
"poner bebederos de agua, verificar la puntualidad de los profesores",Negativo,Docentes
la ampliacion de aulas y mejor coordinación en horarios,Negativo,Estrategia Académica
el compromiso del docente con el alumno,Positivo,Docentes
los proyectos que realizamos.,Positivo,Percepción General
"la cantida de aulas   el wifi,   la cafetería,   el estacionamiento,   la plataforma del aula virtual  la app para movil (reservar aulas)  el área deportiva",Negativo,Percepción General
los profesores buenos calificados,Positivo,Docentes
la biena enseñanza,Positivo,Docentes
los docentes. hay algunos que no hacen la clase como se debería de hacer. y a veces ni siquiera les importa si aprendemos. a veces todo lo hacen muy teórico y lo que más se necesita es la práctica porque no sabremos que hacer en una empresa si antes no lo hemos hecho,Negativo,Docentes
la enseñanza de algunos profesores.  no todos enseñan como es debido,Positivo,Docentes
"los profesores son realmente buenos, incentivan bastante.",Positivo,Docentes
"metodología de trabajo, además del cumplimientos en todas las actividades por parte de los docentes.",Positivo,Docentes
la forma d enseñar,Positivo,Docentes
la enseñanza y forma organizada para los temas que se lleva durante el ciclo,Positivo,Docentes
"enseñanza y buena infraestructura , y el clima en el que estudiamos",Positivo,Estrategia Académica
"que hay profesores que tienen vocacion para enseñar, paciencia y se ve que les gusta compartir sus experiencias profesionales.",Positivo,Docentes
el aire acondicionado,Negativo,Percepción General
su enseñanza de calidad,Positivo,Percepción General
la experiencia con los profesores al momento de la enseñanza,Positivo,Docentes
"las clases que los profesores nos dan día a día, sus aulas que las mantienen en buen estado y cuidadas, la buena química que hay en la universidad.y que es la mejor!!!",Positivo,Docentes
la enseñanza y el docente por su forma didáctica de enseñar,Positivo,Docentes
"tener horarios mas flexifles, ayudar a los alumnos a conseguir trabajos partime para que puedan ayudarse economicamente, mas seguridad",Negativo,Estrategia Académica
el nivel competitivo de los profesores,Negativo,Estrategia Académica
"la enseñanza calificada de los docentes que nos ayudan a mejorar como estudiantes. pero por otro lado, una mala experiencia es el ""internet inalámbrico"", ya que la señal wi fi es muy lenta y nos de beneficio para nosotros como estudiantes a la hora que necesitamos para poder desarrollar nuestros trabajos.",Positivo,Docentes
"el apoyo de los docentes a  los estudiantes, para tener un buen rendinmiento",Positivo,Docentes
la enseñanza y sus servicios,Positivo,Estrategia Académica
no se cuenta con una infraestructura adecuada. además existen algunas deficiencias en algunos de los  miembros del cuerpo docente.,Negativo,Docentes
el personal de trabajo que contratan (docentes),Positivo,Docentes
el trato que tiene el docente con el estudiante  q es excelente,Positivo,Docentes
considero qyue deben abrir mas cursos con mas horarios,Negativo,Estrategia Académica
los métodos de enseñanza de algunos docentes,Positivo,Docentes
cambio de metodologia de enseñanza (como perez minchola),Negativo,Docentes
"la organizacion, facilidad para resolver problemas, nivel de enseñanza",Positivo,Estrategia Académica
"la enseñanza, profesores que expliquen muy bien sus clases y se preocupen en nuestro entendimiento.",Negativo,Docentes
agregar mas horarios,Negativo,Estrategia Académica
la formacion de los docentes y mas cursos referentes a las carreras,Negativo,Docentes
"el ambiente de estudio que te brindan par formar profesionales de éxito.  además, de la calidad de los profesores que tenemos en todos los cursos.",Positivo,Docentes
la parte academica,Positivo,Estrategia Académica
los profesores que estan bien preparados,Positivo,Docentes
"debe mejorar la mejor atención y el cuidado de los estudiantes, y lograr que algunos profesores mejoren su enseñanza.",Negativo,Docentes
"el nivel de exigencia es bajo, la calidad de los docentes. mejorar la infraestructura, pocos estacionamientos.",Negativo,Docentes
la infraestructura  los horarios  la movilidad del bus,Negativo,Estrategia Académica
"los excelemtes profesores , ya que solo motivan mucho al estudiante",Positivo,Estrategia Académica
"del aprendizaje que se da en clases , pero lo que tienen que mejorar es en la limpieza en los servicios higienico, en especial los baños del primer piso de pabellon h. gracias.",Negativo,Percepción General
hay pocos profesores que cumplan las espectativas del alumno.....profesores que no son exigentes,Negativo,Docentes
"ampliar la biblioteca con maquinas y salas de trabajo , incrementar el area del campus, deberia haber mas horas presenciales de estudio",Negativo,Estrategia Académica
la calidad de la enseñansa,Positivo,Estrategia Académica
la enseñanza que se da,Positivo,Docentes
mayor apoyo a los que estudiamos. hay cursos que nos piden mas tiempo de lo normal ..,Negativo,Estrategia Académica
"el método de enseñanza de algunos profesores, el wifi en las aulas",Negativo,Estrategia Académica
el prestigio.,Positivo,Percepción General
"cuamdo fui a bienestar universitario con mi mama este ciclo, la señorita nos trato muy mal,   ademas hah baños malogrados y muy pocos, estos se llenan en el breack y se nos acaban los diez minutos en el baño, hay dos baños por piso, es casi imposible que eso nos abastezca  somos muchos alumnos para un espacio tan reducido  el profesor nilo de finanzas corporativas es un profesor indiferente, no rrsponde nuestras dudas cuando le prehuntamos en clase",Negativo,Docentes
"la docencia, hay una docente que en el examen no nos toma respecto a los temas del silabo ni de las diapositivas que sube al aula virtual, si no de lecturas que nos y revistas, ademas nos vienes ejercicios los cuales ella no nos enseña ni siquiera uno solo nos da una hoja con ejercicios y estudien eso es todo pero no enseña como resolver, y la mayoría de los estudiantes de la clase han jalado debido a eso.",Negativo,Docentes
que las clases son didácticas y cualquier pregunta los profesores están dispuestos a responder,Positivo,Docentes
el tipo de enseñanza y exigencia,Positivo,Percepción General
aver aprendido cosas nuevas,Positivo,Estrategia Académica
la calidad educativa y acreditación.,Positivo,Estrategia Académica
"infraestructuea, mejorar calidad de profesores",Negativo,Docentes
que son buena gente y nos dan oportunidades para salir bien en los cursos,Positivo,Docentes
la preparaciom que tienen sus profesores.,Positivo,Docentes
"lo calidad de los docentes, los servicios complementarios y la acreditación.",Positivo,Docentes
los profesores deben explicar de forma mas detallado,Negativo,Docentes
la calidad de enseñanza y el nivel mostrado por los docentes. los laboratorios bien estructurados e implementados.,Positivo,Docentes
buena calidad de servicio,Positivo,Estrategia Académica
quizas elevar el nivel academico y ampliar los locales,Negativo,Estrategia Académica
"las clases con los profesores de carrera, cada uno motiva aún más a seguir en la carrera.",Positivo,Docentes
un mejor trato por parte de algunos profesores a los alumnos,Positivo,Docentes
la ensenansa dedicada,Positivo,Estrategia Académica
el buen trato del personal y los docentes,Positivo,Docentes
los medios para aprender y no seguir en lo tradicional.,Positivo,Estrategia Académica
"la enseñanza que es buena,my sobre todo la atencion",Positivo,Estrategia Académica
mi estimado profesor de termodinamica no enseña muy bien,Negativo,Docentes
"aulas, materiales didacticos, apoyona los estudiantes duera de horarios, incentivo en proyectos",Negativo,Estrategia Académica
una buena infraestructura y muy buena enaeñanza,Positivo,Docentes
un buen servicio pero falta capacitar mas a lo de seguridad,Positivo,Estrategia Académica
los docentes <3,Positivo,Docentes
la calidad de la umiversidad,Positivo,Percepción General
"el servicio que nos brinda,",Positivo,Estrategia Académica
la buena calidad de enseñanza que brinda la universidad de la mano con la ultima tecnologia que posee.,Positivo,Estrategia Académica
las herramientas de enseñanza,Negativo,Estrategia Académica
"la calidad de infraestructura, y una buena enseñanza.",Positivo,Estrategia Académica
"lanenseñanza de los profesores, las clases, el respeto, la tecnologia ....",Positivo,Docentes
la educación e infraestructura.,Positivo,Estrategia Académica
la buena calidad  de enseñanza,Positivo,Docentes
la calidad de los docentes y la exigencia,Positivo,Docentes
el nivel academico de los docentes,Positivo,Docentes
profesores más capacitados y aulas mejor ventiladas.,Negativo,Docentes
la enseñanza y la infraestrutura,Positivo,Estrategia Académica
deben mejorar la metodologia de ingreso al aula virtual y las demas bibliotecas. tambien dar mas beneficios a los estudiantes que motiven a superar. tener una mejor eztrategia de marketing,Negativo,Percepción General
"en la seleccion de sus docentes, para que esten a corde con los cursos y recibamos los conocimientos de una mejor manera.",Negativo,Docentes
lo que mas valoro es la calidad de enseñanza de nos brinda la universidad .,Positivo,Estrategia Académica
en mejorar los horarios y el aula virtual,Negativo,Estrategia Académica
todos los docentes en general de subir su clase al aula virtual ya que hay algunos que no lo hacen.  el tema del cafetin los prdcios deben de ser un poco mas comodos pars todos los alumnos y al mismo tiempo mucho masnhigienicos ya que muvjos alumnos incluyemdome que nos hemos enfermado por tener una mala higiene o manipulacion de alimentos al momentp de preparlos.,Negativo,Docentes
capacitación de profesores o ingenieros para que nos brinden una adecuada educación.,Positivo,Estrategia Académica
la calidad de enseñanza y la implementación de los laboratorios,Positivo,Estrategia Académica
"el conocimiento brindado por la carrera de ing. sistemas, recomendaría que los asistentes revisen cada salón y laboratorio antes de que ingrese otro grupo ya que aveces algunos alumnos se olvidan usb o mochilas o cualquier cosa y aveces no son entregadas por que se lo llevaron otras personas",Positivo,Docentes
"la calidad de profesores a cuanto a cursos de especialidad , como por ejemplo curso de calidad de software",Positivo,Docentes
la experiencia de los profesores y sus conocimiento que nos guian de como se da nuestra carreracen el campo.,Positivo,Docentes
no pedir carnet al entrar y que funcionen los dos buses de la upn,Negativo,Percepción General
la calidad de profesionales que cuenta la universidad,Positivo,Docentes
la calidad de enseñanza que nos brinda la plana docente,Positivo,Docentes
la calidad de estudio.,Positivo,Estrategia Académica
"red de wifi mucho más rápida,  infraestructura y empate a de profesores.",Negativo,Docentes
creo que deseo cursos que me ayuden a desarrollas mas mis capacidades y mis dudas se dicipen y aprenda mas sentir eso creo que falta  mas curso libres  seminarios por lo demas estoy contento infraestructura excelelente .la bliblioteca lo maximo,Negativo,Estrategia Académica
valoro mas la calidad de estudio que se brinda.,Positivo,Estrategia Académica
deben haber más cursos de penal.,Negativo,Estrategia Académica
labenseñanza,Positivo,Estrategia Académica
"los cambios implementados no son los adecuados para el programa es, ya que no se cumple lo que se ofreció al inicio.",Negativo,Percepción General
"los conocimientos, las nuevas experiencias y las amistades",Positivo,Estrategia Académica
la infraestructura y docentes,Positivo,Docentes
el conocimiento de los profesores,Positivo,Docentes
me robaron el celular dentro de la universidad!!! upn es universidsd particular!!! no es una universidad de pueblo joven!!!,Negativo,Percepción General
que los docentes den una mejor explicación de los ejercicios,Negativo,Docentes
la buena enseñanza que brindan los docentes.  pero el internet es muy lento en los laboratorios.,Positivo,Docentes
"las salidas a campo, se aprende y se capta mucho mejor",Positivo,Estrategia Académica
los docentes que hay en upn son personas integras e inteligentes de las cuales puedes aprender mucho.,Positivo,Docentes
la metodologia de emseñanxa de algumos profesores,Negativo,Docentes
"wifi en toda la universidad, un auditorio mas grande (ejercito), ascensor en el pabellón h (el ejercito)",Negativo,Percepción General
sus buenos servicios y  su calidad de enseñanza,Positivo,Estrategia Académica
"la mala atencion al matricularse en los cursos , (no abrieron horarios y me estoy atrazando gracias  a ustedes )",Negativo,Estrategia Académica
la insistencia en la creación y realización de proyectos,Positivo,Docentes
la calidad de enseñanza que existe en la universidad,Positivo,Percepción General
"la calidad se la enseñanza, tratan de estar a la vanguardia de la tecnologia",Positivo,Percepción General
la plana docente es excelente.  el sistema permiten aplicar conocimiento su desde primer ciclo.  la infraestructura es cómoda.,Positivo,Docentes
la flexibilidad de horarios para personas que trabajan,Negativo,Estrategia Académica
en contar con pocos instrumenttos para la carrera; así como bajo nivel en algunos profesores,Negativo,Docentes
mejora en explicacion de los temas,Positivo,Docentes
"las clases son mas teóricas y casi siempre es el mismo sistema, no varia en la enseñanza.",Negativo,Estrategia Académica
la enseñanza es excelente.,Positivo,Estrategia Académica
"la enseñansa, y la seguridad que me ofrece",Positivo,Estrategia Académica
en alguna ocasion como que no me enxontre muy satisfecha con la metodologia  de enseñanza de algun docente,Negativo,Docentes
que los profesores esta  muy capacitados para la enseñanza haciendola mas dinamica,Positivo,Docentes
la forma en que solucionan los problemas de los alumnos.,Negativo,Percepción General
los horarios de uso de los laboratorios,Negativo,Estrategia Académica
"instalaciones, mejores filtros para profesores de cursos generales que vayan de la mano con la metodología de upn.",Negativo,Docentes
los docentes que estan mu bien calificados,Positivo,Docentes
lo mejor,Positivo,Percepción General
en la mala atencion y la falta de apoyo para proyectos de investigacion,Negativo,Estrategia Académica
el ambiente estudiantil y el apoyo que brindan los docentes,Positivo,Docentes
la calidad de docentes que brindan servicios y tanto todo el equipo de trabajo que lo conforma,Positivo,Docentes
la preocuparción por parte de los profesores. se nota que lo que más quieren es nuestro aprendisaje.,Positivo,Docentes
en la falta de exigencia de los profesores,Negativo,Docentes
"buenos profesores, buenas enseñanzas, buenas amistades",Positivo,Docentes
mejoren más  más en la facultad el personal de docencia más capacitados y supervise a los directores de carrera el de empresarial se crrcree lo máximo y humilla a los alumnos de otra carrera,Negativo,Docentes
más espacio y menos alumnos por aulas,Negativo,Estrategia Académica
nos brinda mayores beneficios en cuanto a los estudios y como desarrollar nuestras capacidades.,Positivo,Estrategia Académica
la atencion a los estudiantes en cuanto horarios deben abrir varias clases,Negativo,Estrategia Académica
la enseñanza de los docentes y su infraestructura,Positivo,Docentes
"la plana docente, biblioteca y mayor facilidad de registro de matricula via online.",Negativo,Docentes
en suprevisar a los profesores si cumplen sus horarios establecidos,Negativo,Docentes
"infraestructura, horarios , material didactico",Negativo,Estrategia Académica
la enseñanza y el apoyo de los docentes.,Positivo,Docentes
personal docente mas capacitado,Negativo,Docentes
la calidad de enseñansa de los docentes,Positivo,Docentes
calidad de atención y enseñanza,Positivo,Docentes
su enseñanza y material que brinda,Positivo,Docentes
la ense?ansa y los beneficios que nos brinda,Positivo,Estrategia Académica
"b u s e s, p o r   f a v o r :)",Negativo,Percepción General
la enseñanza y los ambientes,Positivo,Estrategia Académica
la enseñanza de cada docente hacia el alumno,Positivo,Docentes
el nivel de exigencia que nos otorga los docentes como tambien la formalidad que posee,Positivo,Docentes
la forma de redaccion de las diapositivas de algunos profesores.,Negativo,Estrategia Académica
"la enseñansa academica, la tecnologia que usa y dinamicas.   tambien una buena cadena de docentes",Positivo,Docentes
en su infraestructura y en la exigencia con los alumnos.,Negativo,Percepción General
pocas horas de clases,Negativo,Estrategia Académica
en la calidad de enseñanza de los profesores,Positivo,Estrategia Académica
su alto nivel de aprendizaje,Positivo,Estrategia Académica
las practicas,Positivo,Estrategia Académica
los equipos de trabajo y los buenos profesores.,Positivo,Docentes
la buena atención del personal para con los alumnos,Positivo,Percepción General
las enseñanzas brindada por los docentes y charlas realizadas,Positivo,Docentes
"reducir la pension y/o reducir costos de verano, ademas de realizar actividades de integracion entre estudiantes. celebracion de aniversario de la u.",Negativo,Percepción General
las amitades,Positivo,Percepción General
calidad de plana docente,Positivo,Docentes
"las cosas aprendidas, amigos, viajes, buenas experiemcias y una  buena ense?anza.",Positivo,Docentes
cambio de docentes,Negativo,Docentes
los docentes son exelentes y la educacion es mas individualizada en comparacion a otras universisades.,Positivo,Docentes
al u  la facilidad de aprendizaje que brinda la upn,Positivo,Estrategia Académica
"la calidad de docentes,",Positivo,Docentes
la buena enseñanza de los docentes y la comodidad de las áreas de trabajo.,Positivo,Docentes
"la tecnologia y facilidades de estudio que nos brinda. tambien, la oportunidad de intercambio con la red laureate.",Positivo,Percepción General
su tipo de enseñaza,Positivo,Docentes
"deben mejorar mas la enseñanza academica ,como por ejemplo que sea didactica",Negativo,Estrategia Académica
mejorar las tesis   realizar eventos por aniversarios  enseñanza,Negativo,Estrategia Académica
"los señores de la puerta son educados,los profesores están altamente capacitados y el lugar siendo pequeño es muy acogedor",Positivo,Docentes
la calidad de docentes y de ponentes que vienen a la semana juridica mas las diferentes actividades que ayudan a incrementar nuestro conocimiento,Positivo,Docentes
su calidez de enseñanza,Positivo,Docentes
considero el ver bonito los cursos y horarios a partir del proximo año . x el tema de la duracion d la carrera,Positivo,Estrategia Académica
los profesors los cafetines,Positivo,Docentes
infraestructura  pocos docentes verdaderamente calificados,Negativo,Docentes
el trato que se da a los estudiantes es exelente,Positivo,Percepción General
"profesores pocos capacitados( aunque dicen quwe tienen muchos postgrados, titulos).  la infraestructura deberia ser mejor, para brindar un servicio de excelencia a los alumnos, ya que pagamos por el.",Negativo,Docentes
para w orking adult deberían dejar menos trabajo para casa y hacer mas trabajos practicos en la hora de clase,Positivo,Estrategia Académica
que en la  deben ser perestatos mas dias,Positivo,Estrategia Académica
la exigencia academica y motivar la investigación para elaborar proyectos revolucionarios.,Negativo,Percepción General
la calidad de maestros y el prestigio,Positivo,Estrategia Académica
calidad de servicio y educativa. en programa wa,Negativo,Estrategia Académica
especializacion,Positivo,Estrategia Académica
los consejos que me dan la docentes en base a su experiencia,Positivo,Docentes
la exigencia de sus docentes,Positivo,Percepción General
los conovimientos de los docentes sus experienvias de ellos y sobre todo rl tiempo que nos dan en los horarios.,Positivo,Docentes
la interaccion con los compañeros de clase,Positivo,Percepción General
algunos  profesores no ensrñan bien,Negativo,Docentes
"la vivencia, sus enseñanzas y en general todo",Positivo,Percepción General
todo lo k dicen no cumplen,Negativo,Percepción General
"el internet es muy lento, sitios libres para estudiar",Negativo,Percepción General
el ambiente y la calidad de la enseñanza de los profesores,Positivo,Docentes
el sistema de educacion,Positivo,Percepción General
